  text[]  (size =      39122 bytes)
suffix[]  (size =     312752 bytes, exec_time = 23.646230)
   lcp[]  (size =     312752 bytes, exec_time = 2.267270)
 count[]  (size =     312752 bytes, exec_time = 8.005080)
longest repeated phrase = 2 X ' if you want to make a difference in the life of ' 
   most repeated phrase = 3993 X 'e' 
count	numberwords	phrase
11	0	' "'
3	0	' $'
149	1	' a '
2	2	' a better '
2	2	' a child '
2	3	' a country where '
2	2	' a few '
3	2	' a good '
6	2	' a government '
2	3	' a government that '
2	5	' a government that's more '
4	2	' a little '
2	2	' a lot '
9	2	' a new '
3	3	' a part of '
3	2	' a place '
2	2	' a quarter '
3	4	' a small business owner '
4	2	' a small '
4	2	' able to '
16	1	' about '
4	1	' across '
2	2	' across the '
2	1	' address '
8	1	' advertisement   '
2	1	' afford '
6	1	' afghan '
7	1	' after '
2	2	' after the '
7	1	' after '
4	1	' against '
3	2	' against us. '
2	1	' agree '
2	1	' agreement '
2	2	' agreements with '
3	2	' al qaeda '
24	1	' all '
4	2	' all of '
5	2	' all the '
3	1	' allen '
4	1	' already '
11	1	' also '
13	1	' america '
2	2	' america has '
8	2	' america's '
2	3	' america's success. '
3	1	' america.'
2	2	' american dream '
2	3	' american family. we '
17	1	' american '
2	2	' american leadership '
17	1	' american '
7	1	' americans '
2	1	' americans' '
2	1	' americans. '
14	1	' an '
235	1	' and '
2	2	' and a '
3	2	' and as '
2	2	' and create '
2	2	' and for '
5	2	' and i '
2	2	' and it '
3	2	' and new '
2	2	' and race '
3	2	' and that '
2	3	' and that's '
11	2	' and the '
4	2	' and their '
7	2	' and we '
3	3	' and we will '
4	1	' any '
2	2	' any other '
2	1	' approach '
3	2	' are a '
4	2	' are being '
51	1	' are '
2	2	' are not '
5	2	' are the '
3	2	' aren't '
3	1	' around '
2	2	' around the '
33	1	' as '
4	2	' as a '
33	1	' as '
2	2	' as one '
33	1	' as '
2	2	' as they '
6	2	' as we '
3	3	' as we speak, '
2	3	' as well as '
4	1	' ask '
22	1	' at '
2	2	' at a '
22	1	' at '
2	2	' at least '
22	1	' at '
3	2	' at the '
2	1	' attract '
3	1	' away '
5	1	' back '
3	2	' back to '
2	1	' bad '
4	2	' be a '
3	3	' be able to '
6	2	' be the '
2	4	' be the first to '
6	2	' be the '
2	1	' be, '
2	1	' beat '
17	1	' because '
2	3	' because of a '
4	2	' because of '
17	1	' because '
3	2	' because the '
3	2	' because we '
11	1	' been '
5	1	' before '
3	1	' began '
3	1	' begin '
6	1	' behind '
5	1	' being '
3	3	' believe in the '
8	1	' believe '
2	2	' believe that '
8	1	' believe '
2	1	' benefits '
10	1	' best '
7	1	' better '
2	2	' better place '
7	1	' better '
2	1	' between '
2	1	' beyond '
4	1	' big '
2	1	' billions '
2	1	' bipartisan '
3	1	' borders, '
4	1	' both '
2	2	' both parties '
4	1	' both '
5	1	' brandon '
3	1	' brothers '
4	1	' building '
2	1	' built '
3	1	' burden '
2	2	' burden on '
2	2	' business and '
10	1	' business '
5	1	' businesses '
2	1	' businesses, '
3	2	' but because '
2	3	' but i will '
3	2	' but to '
29	1	' by '
5	2	' by the '
2	2	' by these '
2	1	' california '
3	1	' called '
35	1	' can '
2	2	' can be '
35	1	' can '
4	2	' can make '
2	2	' can stand '
2	1	' cannot '
9	1	' care '
2	1	' centuries '
2	1	' century '
2	1	' challenge '
2	1	' challenges '
3	1	' change '
3	1	' changed. '
2	1	' changing '
5	1	' child '
5	1	' children '
4	1	' china '
2	1	' citizens. '
4	2	' clean energy '
2	1	' clear '
5	1	' college '
2	1	' college. '
14	1	' come '
5	2	' come from '
14	1	' come '
2	2	' come to '
4	1	' comes '
3	1	' coming '
2	1	' common '
2	1	' communities, '
3	1	' community '
2	1	' companies, '
4	1	' company '
3	1	' company. '
3	1	' compete '
2	1	' compete, '
3	1	' competition '
8	1	' congress '
4	2	' congress to '
2	1	' congress, '
2	1	' continue '
3	1	' corporate '
2	2	' costs, including '
3	1	' costs, '
5	1	' could '
3	1	' countries '
8	1	' country '
2	2	' country they '
8	1	' country '
3	1	' country. '
2	1	' coverage '
4	1	' create '
4	1	' created '
3	1	' credit '
4	1	' cut '
4	1	' cuts '
3	1	' cutting '
3	1	' day '
4	1	' days '
2	1	' defeat '
2	1	' defense '
4	1	' deficit '
3	1	' deficit. '
2	1	' degree. '
2	1	' democracy '
2	1	' democratic '
3	4	' democrats and republicans to '
2	3	' democrats and republicans, '
2	1	' deny '
2	1	' department '
5	1	' deserve '
3	3	' deserve to know '
3	1	' determined '
5	2	' didn't '
2	3	' didn't just '
2	1	' differences '
5	1	' different '
2	1	' digital '
2	1	' diploma. '
2	2	' do business '
2	2	' do business. '
21	1	' do '
2	2	' do what '
2	2	' do without. '
3	1	' do. '
2	1	' does '
3	2	' doesn't '
3	1	' doing '
4	1	' dollars '
2	2	' domestic spending, '
6	2	' don't '
2	1	' done. '
4	1	' down '
8	1	' dream '
5	2	' dream is '
2	2	' dream that '
2	2	' dreams of '
3	1	' dreams '
3	1	' drilling '
4	1	' each '
2	3	' each of us '
4	1	' each '
5	1	' economy '
2	1	' economy, '
6	1	' education '
3	1	' education, '
2	2	' effort to '
2	1	' electricity '
3	1	' employees '
2	1	' empty '
3	1	' end '
5	1	' energy '
2	1	' energy, '
3	1	' enforce '
2	2	' enforce our '
2	1	' engineers '
4	1	' even '
2	1	' ever '
12	1	' every '
2	1	' everything '
2	1	' expectations '
2	1	' factory '
3	1	' faith '
3	1	' family '
2	1	' farmers '
3	1	' faster '
3	1	' federal '
2	2	' feel like '
3	1	' feel '
3	1	' few '
3	1	' fewer '
2	1	' fighting '
2	1	' finally '
4	1	' find '
2	3	' first time in '
2	1	' fix '
2	1	' flying '
59	1	' for '
4	2	' for a '
2	3	' for a new '
4	2	' for all '
2	3	' for all the '
4	2	' for all '
59	1	' for '
6	2	' for our '
